USA-STC-STO, garage sale garage sale today 1114and thursday 1115 theres a little bit for every1 infant boysgirls womens mens boy clothes some plus size clothes   1634 slower sacramento rd lodi 95242     Location lodi  its NOT ok to contact this poster with services or other commercial interests    PostingID3410183323     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    Lost Black Rabbit  LOST Solid black rabbit Tip of one ear is white due to injury In vicinity of Benjamin Holt Drive and Plymouth Rd Stockton Ca Rabbit answers to name of Chewie Very friendly Had her since a baby Please call 209 9156164 if found Thank you      Location Ben Holt and Plymouth Rd Stockton  its NOT ok to contact this poster with services or other commercial interests    PostingID3410154925     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-SAL-SAL, MOVING SALE STORE FIXTURES SHELVING OFFICE EQUIP AND MISC We are liquidating a huge amount of retail store fixtures and office equipment and furniture ect ect ect Everything is priced cheap to move it out A partial list includes metal and wood shelving many bookcases of all kinds desks chairs of all kinds tables pictures books office supplies laboratory equipment and furnture rugs new in the box high quality massage table mobility scooter and lots of miscelaneous This sale starts this Friday Nov 16 at 10 am We are located at 956 s Foothill Next to Healthplus Pharmacy in the University Square Plaza corner of Foothill and Santa Rosa      Location SAN LUIS OBISPO  its NOT ok to contact this poster with services or other commercial interests    PostingID3410145409     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    Iphone 5 Black 32gb lost Nov 10 Lost Iphone 5 on Saturday Nov 10 at Mustang Village Apts Black 32gb not in case no questions asked will pay reward Please contact at email address ceccarissayahoocom or cell phone 949 4008505     Location Mustang VillageSLO  its NOT ok to contact this poster with services or other commercial interests    PostingID3410144936     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    Iphone 5 Black 32gb lost Nov 10 Lost Iphone 5 on Saturday Nov 10 at Mustang Village Apts Black 32gb not in case no questions asked will pay reward Please contact at email address ceccarissayahoocom or cell phone 949 4008505     Location Mustang VillageSLO  its NOT ok to contact this poster with services or other commercial interests    PostingID3410144936     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-BAO-BAO, German Shepherd Puppies for Adoption Please stop flagging my adit is legitimate and NOT A SCAMWe are a Christian family trying to find good homes for these two puppies because we are already fostering three other dogs Please call the numbers in the ad so we can discuss other colors of german shepherds I have done extensive research because I doubted myself   Not a scam I humbly ask that you please quit flagging my ad I have the full blood mother at my home trying to rehome her My husband and I personally knew the breeder we rescued them from  Just because they are not standard saddleback color does not mean they are mutts I will gladly send photos and weblinks of nonstandard shepherd colors if needed Just because these are not Amercian Working linescolors does not mean they are not full blood  Rescue puppies seeking new people family Two awesome 12weekold German Shepherd puppies have had their first shots and are wormed Tanner is a rich fawn color and Brennan is a extremely rare brindle color possible Dutch Shepherd in the fathers bloodline They are part of a litter my family rescued from a breeders house who unexpectedly passed away and were left nursing from a starving mother trapped in a flooded kennel and covered in mud We have no access to any paperwork but also have the fullblood solid white mother the father was a solid black from champion bloodlines  Both puppies have stolen our hearts but we have a full house already Adoption fee is 200 each negotiable without papers since they were rescues  but we can try to track down registry if needed These handsome puppies will be big beautiful guys Please call or text 225 five seven three 4513 or 225 four five six 0700 to meet these awesome guys just in time to steal your hearts for the holidays Will verify new home environment  serious replies and good homes only    Akc lab puppies  AKC champion bloodline lab puppies 2 yellow females left call or text Cayla at two two five two zero six four seven one seven   ISO gerbil amp gerbil stuff Im looking for a gerbils  accessories     Location central  its NOT ok to contact this poster with services or other commercial interests    PostingID3410141225     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-LAX-SNP, large blk iguana cage  brand new i have it set up thinking id buy something to put in the cage just never have the time for an animal right now cage jus sitting in my room Asking 20000 with heating bulbs and lamps Call 805 2365491 vanessa   Are you looking for a family to help in your area    Are you looking for a family to help in your area for the holidays Do you need help for the holidays Go to MyChristmasAngelorg and look at the people in your area that are in need Merry Christmas     Location ventura county  its NOT ok to contact this poster with services or other commercial interests    PostingID3410151844     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-RCV-RIC, pitbull puppy 9 week old pitbull puppy small rehoming email me soon if intersted or call or text ask for chad 8048984451     Location hopewell  its NOT ok to contact this poster with services or other commercial interests    PostingID3410198128     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    1 Health amp Fitness Challenge  I am looking to help bt 2535 in the next 90 Days who want to lose anywhere from 1075lbs I am offering my experience and my community challenge to help you on your journey This is not a diet this is the beginning of a lifestyle change If you want a fee chance to win your share of 25 Million in money vacations and prizes please reply to this listing The challenge will begin on 112612 But please reply sooner than later to this listing so we can get you prepared for it  Details about the 90 Day Challenge can be found on this link   httpvisaluscombodybyvi90daychallenge  Thanks Chris      Location VA  its NOT ok to contact this poster with services or other commercial interests    PostingID3410197838     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    PitbullHusky mix Im gonna start this off by saying that the one  only reason I need to find him a new home is bc my daughter came 3 months premature so mine  my boyfriends time is now consumed by trips to the hospital spending most of our time w her so hes stuck in the cage for majority of the day Hes getting so big  I know hes not be able to get comfortable in it anymore  His name is Chulo which is spanish for handsome bc hes a real pretty dog Hes 6 months old  just a big baby lol He loves spreading his long legs out across the floor  taking naps  His best trick is paw  he knows to sit  stay He gets along w both my 3 year old cat  10 week old kitten  any time hes been around other dogs he just plays Hes really a great puppy but he just needs too much attention for us at the moment  There is a rehoming fee You can email me or call me at 4433071371 Serious inquires only please Thank you   Free tortoiseshell cat  Beautiful tortoiseshell stray cat needs a good loving home We took her in but our cat does not get along with her Shes so loving we dont have the heart to put her in the pound Can send you pic if you like     Location RichmondMidlothain  its NOT ok to contact this poster with services or other commercial interests    PostingID3410177281     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    brown Pitt lab mix dallas Looking to see if anyone knows what happened to her or if she has found a good home Her name is dallas she listens very well but is a bit hyper     Location chester rd  its NOT ok to contact this poster with services or other commercial interests    PostingID3410144526     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    brown Pitt lab mix dallas Looking to see if anyone knows what happened to her or if she has found a good home Her name is dallas she listens very well but is a bit hyper     Location chester rd  its NOT ok to contact this poster with services or other commercial interests    PostingID3410144526     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-BOS-NOK, Male web footed gecko Male web footed gecko with 10 gallon tank screen top sand and heat pad 40     Location Westerly RI  its NOT ok to contact this poster with services or other commercial interests    PostingID3410155100     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    lab mix bellingham ma this poor puppy is approximately 6 months old not spayed yet and not sure about any vaccine history the only history I know is that she ate dinner then pooped on the floor and the owner picked her up and threw her into the wall hurting her right front paw its not broken but she will only occasionally put weight on it she still runs around and plays just like any other puppy her age and plays with my other dog she is fully potty trained and does not bite she is great with other dogs pets and kids we are asking a rehoming fee of 150 OBO for two reasons 1 to ensure she goes to a good home and 2 to cover part of her medical bills pkease call if interested emails will not be answered 774 287 9003  INDOOR MOVING SALE  EVERYTHING MUST GO I am dowszing and I have to sell EVERYTHING Please stop by 42 Carpenter Street Cumberland RI on Saturday after 130pm until 600pm and on Sunday from 9 am to 2pm  Here is a list of some of the things I am selling EVERYTHING IS NEGOCIABLE BUT NO LOW BALLERS PLEASE    Mirror        3000 LampsCu        1500 Radio Clock2000 TV Daewood7000 TV Wall Bracket 15000 Square table4000 Closet bathroom5000 Cooler Outdoor fountain6000 Inside fountain3000 Gray table5000 Dinning set8000 Kitchen lamps Dish washer30000 Stove        50000 Refrigerator70000 Microwave25000 Dinning lamp5000 Step stairs2000 Wine cooler20000 Coffe machine1000 Bar lamp Clock billard theme10000 Guitar        2500 Folding doors Flowers 4 blinds Closet Gas grill       12000 Charcoal grill8000 Lawn mower7500 Cealing fan Tread mill40000 Love seat       20000 Desk chair  big 6000 Desk chair  small 4000 Pool table       40000 Wood window  kitchen  Yard tools Kitchen cabinets Vanity mirror  bathroom  Outdoor table set Hammock Lamp studio      Location CUMBERLAND RI  its NOT ok to contact this poster with services or other commercial interests    PostingID3410135523     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    INDOOR MOVING SALE  EVERYTHING MUST GO I am dowszing and I have to sell EVERYTHING Please stop by 42 Carpenter Street Cumberland RI on Saturday after 130pm until 600pm and on Sunday from 9 am to 2pm  Here is a list of some of the things I am selling EVERYTHING IS NEGOCIABLE BUT NO LOW BALLERS PLEASE    Mirror        3000 LampsCu        1500 Radio Clock2000 TV Daewood7000 TV Wall Bracket 15000 Square table4000 Closet bathroom5000 Cooler Outdoor fountain6000 Inside fountain3000 Gray table5000 Dinning set8000 Kitchen lamps Dish washer30000 Stove        50000 Refrigerator70000 Microwave25000 Dinning lamp5000 Step stairs2000 Wine cooler20000 Coffe machine1000 Bar lamp Clock billard theme10000 Guitar        2500 Folding doors Flowers 4 blinds Closet Gas grill       12000 Charcoal grill8000 Lawn mower7500 Cealing fan Tread mill40000 Love seat       20000 Desk chair  big 6000 Desk chair  small 4000 Pool table       40000 Wood window  kitchen  Yard tools Kitchen cabinets Vanity mirror  bathroom  Outdoor table set Hammock Lamp studio      Location CUMBERLAND RI  its NOT ok to contact this poster with services or other commercial interests    PostingID3410135523     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-EUG-EUG, Free Cat Junction City Free to good home Eva is a friendly cat with people but doesnt seem to do well with other cats We have moved and I do not have any room to keep her She is spayed up to date on shots and litter box trainedIf interested call 5419539151 Thank you  Ride offered  Eugene to Seattle on Wed 1121 Im offering a ride from Eugene to Seattle Leaving November 21st  I can listen to anything but I prefer upbeat travel music Sometimes talking sometimes not We travel with zipcar  enjoy the ride   Contact me on Zimride httpwwwzimridecomrideshareride532595         Location Eugene  its NOT ok to contact this poster with services or other commercial interests    PostingID3410172810    No contact info   if the poster didnt include a phone number email or other contact info craigslist can notify them via email           Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    Ride offered  Eugene to Seattle on Wed 1121 Im offering a ride from Eugene to Seattle Leaving November 21st  I can listen to anything but I prefer upbeat travel music Sometimes talking sometimes not We travel with zipcar  enjoy the ride   Contact me on Zimride httpwwwzimridecomrideshareride532595         Location Eugene  its NOT ok to contact this poster with services or other commercial interests    PostingID3410172810    No contact info   if the poster didnt include a phone number email or other contact info craigslist can notify them via email           Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-DEC-DEC, Female German Shepherd We are in search of a good family for female German Shepherd Shes young and vibrant Rehoming fee  Kittens FREE very cute and unique kittens call or txt 2177917844     Location decatur il  its NOT ok to contact this poster with services or other commercial interests    PostingID3410162630     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-KAN-KAN, Weenier dog puppy 8 weeks old so tiny utd on shots loving playful  loves kids there is a fee call or text any time 8635821315  Shell be around 56 pounds    Weenier dog puppy 8 weeks old so tiny utd on shots loving playful  loves kids there is a fee call or text any time 8635821315  Shell be around 56 pounds    Australian Shepherd I have an 7 years old female red tri colored aussie that is looking for a new home She is a great dog she is house trained great with other dogs great with cats and great with kids She is a little shy when she first meets new people but warms up to you fast She is current on her shots she is not registered but is a purebreed Aussie Will follow you everywhere you go and very lovable The reason we are trying to find her a new home is because we have a puppy that is always barking at her and always in her face and she doesnt like that vey much so we think she will be much happy with a family that has older dogs instead of a hyper puppy I am asking for a 50 rehoming fee just to make sure she will be going to a good home Sorry no pics are camera is broken You can email me if you have any questions     Location KCK  its NOT ok to contact this poster with services or other commercial interests    PostingID3410163687     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    Kush kcmo Only have the good Kush Email for pricing      Location kcmo  its NOT ok to contact this poster with services or other commercial interests    PostingID3410153884     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    WANTING UNWANTED FRESH WATER FISH TANKS AND SUPPLIES  WANTING  if u have any unwanted fresh water tanks stands or any supplies u just want to give away please call  913 226  3745 I WILL TAKE IT  AGAIN  THANK YOU  913226  3745  WE ARE GOING TO GIVE THEM TO ARE KIDS FOR THERE ROOMS  THEY HAVE BEEN WANTING THIS FOR A LONG TIME      Location olathe  its NOT ok to contact this poster with services or other commercial interests    PostingID3410153418    No contact info   if the poster didnt include a phone number email or other contact info craigslist can notify them via email           Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum    NEED BURMESE PYTHONS ASAP I CAME HERE FOR THE REPTILE SHOW TO GET A FEW BURMS AND REDTAILSBUT THOUGHT IT WAS THIS WEEK END BUT IT WAS LAST WEEKEND AND ILL BE HERE UNTIL SUNDAY NIGHT SO SEND ME PICTURES AND A PRICE    its NOT ok to contact this poster with services or other commercial interests    PostingID3410150436     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum     Stop Paying for Cable and Movie Rentals     Stop Paying for Cable and Movie Rentals  Do you have a computer  Do you have internet  Do you have a TV  You can watch movies and network programming FREE  No commercials  Latest Movie Releases and More  Email for more information      Location KCMO  its NOT ok to contact this poster with services or other commercial interests    PostingID3410147497     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
USA-YOU-YOU, garageholiday sale GARAGEHOLIDAY sale at 3784 Ridge Rd Cortland winter decor wedding things a little bit of everything please come out and look Thursday November 15 from 9 to 6      Location Cortland  its NOT ok to contact this poster with services or other commercial interests    PostingID3410183316     Copyright copy 2012 craigslist inc  terms of use  privacy policy  feedback forum   
